iter	Passed	Remaining
484	565	600
485	566	598
486	566	597
487	567	595
488	568	594
489	569	592
490	570	591
491	571	589
492	572	588
493	572	586
494	573	585
495	574	583
496	575	582
497	576	580
498	576	579
499	577	577
500	578	576
501	579	574
502	580	573
503	581	571
504	582	570
505	582	569
506	583	567
507	584	566
508	585	564
509	586	563
510	587	562
511	588	560
512	589	559
513	590	558
514	591	556
515	591	555
516	592	553
517	593	552
518	594	550
519	595	549
520	596	548
521	596	546
522	597	545
523	598	543
524	599	542
525	600	540
526	601	539
527	601	538
528	602	536
529	603	535
530	604	533
531	605	532
532	606	531
533	606	529
534	607	528
535	608	526
536	609	525
537	610	524
538	611	522
539	611	521
540	612	519
541	613	518
542	614	517
543	615	515
544	616	514
545	617	513
546	618	511
547	619	510
548	619	509
549	620	507
550	621	506
551	622	505
552	623	504
553	625	503
554	626	502
555	627	500
556	628	499
557	629	498
558	630	497
559	631	496
560	633	495
561	634	494
562	635	493
563	636	492
564	637	490
565	638	489
566	639	488
567	641	487
568	642	486
569	643	485
570	644	484
571	646	483
572	647	482
573	648	481
574	649	480
575	650	478
576	651	477
577	652	476
578	654	475
579	655	474
580	656	473
581	657	472
582	658	471
583	660	470
584	661	469
585	662	468
586	663	466
587	664	465
588	665	464
589	667	463
590	668	462
591	669	461
592	671	460
593	672	459
594	673	458
595	674	457
596	675	456
597	676	455
598	677	453
599	679	452
600	680	451
601	681	450
602	682	449
603	683	448
604	685	447
605	686	446
606	687	445
607	688	443
608	689	442
609	690	441
610	691	440
611	693	439
612	694	438
613	695	437
614	696	436
615	697	435
616	698	433
617	700	432
618	701	431
619	702	430
620	704	429
621	705	428
622	706	427
623	707	426
624	708	425
625	710	424
626	711	423
627	712	422
628	713	420
629	714	419
630	716	418
631	717	417
632	718	416
633	719	415
634	720	414
635	721	413
636	723	412
637	724	411
638	725	409
639	726	408
640	727	407
641	729	406
642	730	405
643	731	404
644	732	403
645	734	402
646	735	401
647	736	399
648	737	398
649	738	397
650	739	396
651	740	395
652	741	394
653	742	392
654	743	391
655	744	390
656	745	389
657	746	388
658	748	387
659	749	385
660	750	384
661	751	383
662	752	382
663	753	381
664	755	380
665	756	379
666	757	378
667	758	377
668	759	375
669	761	374
670	762	373
671	763	372
672	764	371
673	765	370
674	766	369
675	767	368
676	769	366
677	770	365
678	771	364
679	772	363
680	773	362
681	774	361
682	776	360
683	777	359
684	778	357
685	779	356
686	780	355
687	781	354
688	782	353
689	784	352
690	785	351
691	786	350
692	787	349
693	789	347
694	790	346
695	791	345
696	792	344
697	793	343
698	795	342
699	796	341
700	797	340
701	798	339
702	800	337
703	801	336
704	802	335
705	803	334
706	804	333
707	805	332
708	807	331
709	808	330
710	809	328
711	810	327
712	811	326
713	812	325
714	814	324
715	815	323
716	816	322
717	817	321
718	818	320
719	820	318
720	821	317
721	822	316
722	823	315
723	825	314
724	826	313
725	827	312
726	828	311
727	829	310
728	830	308
729	832	307
730	833	306
731	834	305
732	835	304
733	836	303
734	838	302
735	839	301
736	840	300
737	842	298
738	843	297
739	844	296
740	845	295
741	846	294
742	847	293
743	848	292
744	850	290
745	851	289
746	852	288
747	853	287
748	854	286
749	856	285
750	857	284
751	858	283
752	859	281
753	860	280
754	861	279
755	863	278
756	864	277
757	865	276
758	866	275
759	868	274
760	869	272
761	870	271
762	871	270
763	872	269
764	873	268
765	874	267
766	875	266
767	877	264
768	878	263
769	879	262
770	880	261
771	881	260
772	882	259
773	883	258
774	885	256
775	886	255
776	887	254
777	888	253
778	889	252
779	890	251
780	891	250
781	893	248
782	894	247
783	895	246
784	896	245
785	898	244
786	899	243
787	900	242
788	901	241
789	902	239
790	903	238
791	905	237
792	906	236
793	907	235
794	908	234
795	909	233
796	910	231
797	912	230
798	913	229
799	914	228
800	915	227
801	916	226
802	917	225
803	918	224
804	920	222
805	921	221
806	922	220
807	923	219
808	924	218
809	925	217
810	927	216
811	928	214
812	929	213
813	930	212
814	931	211
815	933	210
816	934	209
817	935	208
818	936	206
819	937	205
820	938	204
821	939	203
822	941	202
823	942	201
824	943	200
825	944	198
826	945	197
827	946	196
828	948	195
829	949	194
830	950	193
831	951	192
832	952	190
833	953	189
834	955	188
835	956	187
836	957	186
837	958	185
838	960	184
839	961	183
840	962	181
841	963	180
842	964	179
843	965	178
844	967	177
845	968	176
846	970	175
847	971	174
848	972	172
849	973	171
850	975	170
851	976	169
852	977	168
853	978	167
854	980	166
855	981	165
856	982	163
857	983	162
858	985	161
859	986	160
860	987	159
861	988	158
862	989	157
863	991	156
864	992	154
865	993	153
866	994	152
867	995	151
868	997	150
869	998	149
870	999	148
871	1000	146
872	1001	145
873	1002	144
874	1003	143
875	1005	142
876	1006	141
877	1007	139
878	1008	138
879	1009	137
880	1010	136
881	1011	135
882	1013	134
883	1014	133
884	1015	131
885	1016	130
886	1017	129
887	1018	128
888	1020	127
889	1021	126
890	1022	125
891	1023	123
892	1024	122
893	1025	121
894	1027	120
895	1028	119
896	1029	118
897	1030	117
898	1031	115
899	1032	114
900	1033	113
901	1035	112
902	1036	111
903	1037	110
904	1038	109
905	1039	107
906	1040	106
907	1042	105
908	1043	104
909	1044	103
910	1045	102
911	1046	100
912	1047	99
913	1049	98
914	1050	97
915	1051	96
916	1052	95
917	1053	94
918	1055	92
919	1056	91
920	1057	90
921	1058	89
922	1059	88
923	1060	87
924	1061	86
925	1063	84
926	1064	83
927	1065	82
928	1066	81
929	1067	80
930	1068	79
931	1070	78
932	1071	76
933	1072	75
934	1073	74
935	1074	73
936	1075	72
937	1076	71
938	1077	70
939	1079	68
940	1080	67
941	1081	66
942	1082	65
943	1084	64
944	1085	63
945	1086	62
946	1087	60
947	1088	59
948	1089	58
949	1090	57
950	1091	56
951	1092	55
952	1094	53
953	1095	52
954	1096	51
955	1097	50
956	1098	49
957	1099	48
958	1101	47
959	1102	45
960	1103	44
961	1104	43
962	1105	42
963	1106	41
964	1107	40
965	1108	39
966	1109	37
967	1111	36
968	1112	35
969	1113	34
970	1114	33
971	1115	32
972	1116	30
973	1118	29
974	1119	28
975	1120	27
976	1121	26
977	1122	25
978	1123	24
979	1124	22
980	1126	21
981	1127	20
982	1128	19
983	1129	18
984	1130	17
985	1131	16
986	1132	14
987	1133	13
988	1134	12
989	1136	11
990	1137	10
991	1138	9
992	1140	8
993	1141	6
994	1142	5
995	1143	4
996	1144	3
997	1145	2
998	1147	1
999	1148	0
